ID	Country	ISO	Admin	Code	Region	Category	Measure	Pop. Targeted	Comments	Non-compliance	Date	Source	Source Type
2437	Hungary	HUN			Europe	Social and economic measures	Emergency administrative structures activated or established	No	“operative board” has been set up to coordinate the actions of state authorities that would be involved in preventing the spread of the virus and an epidemic that could follow. Exchanges of information between these authorities are ongoing and regular meetings have been held to discuss completed and future tasks.	Not applicable	04/02/2020	Official Website	Government
2438	Hungary	HUN			Europe	Public health measures	Health screenings in airports and border crossings	No	National Ambulance Service (OMSZ) are checking travelers entering Hungary for coronavirus at six major border crossings across the country. Their temperature is being taken and those with a fever will be isolated	Not applicable	05/02/2020	Official Website	Government
2439	Hungary	HUN			Europe	Public health measures	Awareness campaigns	No	Employees of the interior, defense and foreign ministries, the human resources ministry, the innovation and technology ministry, the national public health center, the disaster management center and the crime analysis center are cooperating to provide verified information via email and a 24-hour phone hotline.  	Not applicable	26/02/2020	Official Website	Government
2440	Hungary	HUN			Europe	Public health measures	General recommendations	Yes	PM Orbán warned Hungarians not to travel to infected areas but also assured them that "the government is working around the clock".	Not applicable	28/02/2020	Official Website	Government
2441	Hungary	HUN			Europe	Movement restrictions	Border closure 	Yes	Hungary is suspending the admission of illegal migrants into the transit zone on the country’s southern border for the foreseeable future given “a link between the new coronavirus and migration”.	Refusal to enter the country	02/03/2020	Official Website	Government
2442	Hungary	HUN			Europe	Public health measures	Awareness campaigns	No	The operative board is also setting up a Facebook page, in addition to the existing information channels, in order to provide information on the new virus.	Not applicable	05/03/2020	Official Website	Government
2443	Hungary	HUN			Europe	Public health measures	Strengthening the public health system	No	Regarding protective face masks, the operative board decided that stocks of medical masks should be used to meet the needs of the general public, and 300,000 masks were delivered on Friday morning. A production line with capacity to make 25,000 masks was also re-started early this month in Debrecen.	Not applicable	05/03/2020	Official Website	Government
2444	Hungary	HUN			Europe	Public health measures	Mass population testing	No	Hungarian authorities have so far tested 4,927 people for coronavirus at entry points into the country, 408 of which received preliminary medical checks.	Not applicable	03/03/2020	Official Website	Government
2445	Hungary	HUN			Europe	Social distancing	Limit public gatherings	Yes	the Hungarian government has decided to cancel this weekend’s March 15 state national holiday celebrations due to the coronavirus.	Not applicable	09/03/2020	Official Website	Government
2446	Hungary	HUN			Europe	Public health measures	General recommendations	Yes	Don't go to a doctor in person, but phone your GP or the special virus helpline	Not applicable	09/03/2020	Official Website	Government
2447	Hungary	HUN			Europe	Movement restrictions	International flights suspension	Yes	Budapest Airport announced that Liszt Ferenc International Airport would not receive flights from Milan, Bergamo, or Treviso from today onwards	Refusal to enter the country	09/03/2020	Official Website	Government
2448	Hungary	HUN			Europe	Social distancing	Public services closure 	Yes	Visiting restrictions put in place at hospitals and homes for the elderly	Not applicable	09/03/2020	Official Website	Government
2449	Hungary	HUN			Europe	Public health measures	Introduction of quarantine policies	Yes	Lakatos said any foreign patients who refuse to cooperate with the authorities risk being expelled from Hungary	Deportation	10/03/2020	Official Website	Government
2450	Hungary	HUN			Europe	Movement restrictions	Visa restrictions	Yes	The foreign ministry has decided that visas issued to Iranian citizens that have not yet been stamped may not enter Hungary.  No action will be taken against any Iranians who have a valid visa and are already present in Hungary unless they break the law or refuse to abide by epidemic measures.  People who refuse to cooperate will be detained by the immigration police for six months, which can be extended for another six months, before being deported.	Deportation	10/03/2020	Official Website	Government
2451	Hungary	HUN			Europe	Social and economic measures	Economic measures	Yes	Prime Minister Viktor Orbán has pledged government support for economic players that suffer losses due to the coronavirus.Government allocates over HUF 8 billion for the response to the coronavirus outbreak	Not applicable	11/03/2020	Official Website	Government
2452	Hungary	HUN			Europe	Movement restrictions	Visa restrictions	Yes	Ban on arrivals from Italy, China, Korea, South and Iran. According to the government directive, foreigners coming from Italy, China, Korea, South and Iran will not be allowed to enter Hungary’s territory. Consequently, Hungary will not welcome trains, buses or flights from these four countries. Hungarian citizens, of course, can return home, but they will be placed in quarantine.	Refusal to enter the country	11/03/2020	Official Website	Government
2453	Hungary	HUN			Europe	Social distancing	Schools closure 	Yes	Universities will be temporarily closed. Education may be continued via e-learning.	Not applicable	11/03/2020	Official Website	Government
2454	Hungary	HUN			Europe	Social distancing	Limit public gatherings	Yes	All indoor events larger than 100 and outdoor events above 500 will be prohibited. Gatherings of large groups will be banned to stop the spread of coronavirus. outdoor venues with an audience of more than 500 people are banned. Enforcing this restriction is the responsibility of the organizer or the venue operator.	Not applicable	11/03/2020	Official Website	Government
2455	Hungary	HUN			Europe	Social and economic measures	Military deployment	Yes	he Hungarian government reintroduced border controls with Austria to allow the country to effectively enforce the entry ban introduced yesterday on those arriving from Italy, China, Korea, South, and Iran. Hungarian citizens returning from these countries are exempt from the ban but must submit to a two-week voluntary quarantine under the threat of penalty.  border controls will primarily be the responsibility of the 5th Infantry Brigade and the 24th Reconnaissance Regimen	Refusal to enter the country	12/03/2020	Official Website	Government
2456	Hungary	HUN			Europe	Movement restrictions	Visa restrictions	No	he expired official documents valid in the territory of Hungary of Hungarian nationals will remain valid for a period of 15 days extending beyond the end of the state of emergency.	Not applicable	12/03/2020	Official Website	Government
2457	Hungary	HUN			Europe	Social distancing	Schools closure 	Yes	Students are forbidden to enter the premises of higher education institutions.	Not available	12/03/2020	Official Website	Government
2458	Hungary	HUN			Europe	Movement restrictions	International flights suspension	Yes	 no flights from Italy will be received in Hungary	Refusal to enter the country	13/03/2020	Official Website	Government
2459	Hungary	HUN			Europe	Public health measures	Introduction of quarantine policies	Yes	A sign from the authorities (“red card”) must be posted on the door which serves as a warning to everyone that there is a person inside who is under disease control observation. By violating the rules of quarantine, the person under observation commits a crime. People selected for compulsory home quarantine are required to dispose of household rubbish sealed in double bags and then discarded in the bin. They are allowed to take delivery of any mail or other delivery at the door as these instances do not qualify as close physical contact. Proceeding in the same manner, they are also allowed to receive food brought for them by relatives. Those in quarantine who are unable to arrange for their supplies can request assistance from the local government.	Arrest/Detention	13/03/2020	Official Website	Government
2460	Hungary	HUN			Europe	Social distancing	Schools closure 	No	all schools closure	Not applicable	14/03/2020	Official Website	Government
2461	Hungary	HUN			Europe	Public health measures	Awareness campaigns	No	only follow credible news sources. warning against fake news. The Hungarian government has created the conditions for clear, credible and reliable information flow on the coronavirus epidemic, and citizens can find the latest, clearest and most accurate information on the infection on koronavirus.gov.hu or abouthungary.hu in english. arrests have been made for spreading fake news  	Arrest/Detention	16/03/2020	Official Website	Government
2462	Hungary	HUN			Europe	Social distancing	Limit public gatherings	No	all events in Hungary will be banned starting at midnight on Monday, adding that sporting events should be held behind closed doors unless the organizers cancel those events altogether.	Not available	16/03/2020	Official Website	Government
2463	Hungary	HUN			Europe	Social and economic measures	Emergency administrative structures activated or established	Yes	set up an action group of Hungarian virologists	Not applicable	16/03/2020	Official Website	Government
2464	Hungary	HUN			Europe	Public health measures	Strengthening the public health system	Yes	, hospitals are suspending elective surgeries and examinations due to the coronavirus infection; only emergency interventions will be carried out. The delivery of test results has also been suspended. The results of diagnostic procedures can be downloaded in the Electronic Health Care Service . , BEK’s hospital at Királyhágó út will be turned into a disease control hospital in the next few days. They have also provided for the immediate procurement of twenty anaesthetic machines capable of long-term ventilation. Screening tests, including lung X-rays and outpatient care at the physiotherapy department, have been temporarily suspended. The therapeutic treatment of oncology patients continues, the local oncology team decides about the urgency of surgery, while patients treated at the department whose treatment can continue at home are being released.   	Not applicable	17/03/2020	Official Website	Government
2465	Hungary	HUN			Europe	Movement restrictions	Border closure 	No	only Hungarian citizens will be allowed to enter the country. The restriction relates to all road, railway, water and air borders. Hungarian rail company MÁV has announced that passenger rail services between Hungary and Austria and between Hungary and Ukraine have been suspended. Road freight traffic between Hungary and Slovenia is still ongoing	Refusal to enter the country	17/03/2020	Official Website	Government
2466	Hungary	HUN			Europe	Movement restrictions	Surveillance and monitoring	No	Failure to comply with the rules set by the authorities concerning the coronavirus outbreak will constitute a misdemeanor and be punishable with a fine of up to HUF 500,000 (EUR 1,500).	Other (add in comments)	17/03/2020	Official Website	Government
2467	Hungary	HUN			Europe	Social distancing	Public services closure 	No	Scheduled chimney checks suspended in Budapest	Not applicable	17/03/2020	Official Website	Government
2468	Hungary	HUN			Europe	Lockdown	Partial lockdown	Yes	shops and restaurants (excluding food stores and pharmacies) must close at 3 p.m. due to the coronavirus epidemic does not apply to post offices. Post offices will receive customers during the opening hours stated at the entrance. It is important that this regulation does not yet apply to the services sector – such as nail parlors, hairdressers and gymnasiums – meaning that they may remain open beyond 3 p.m. At the same time, we strongly advise everyone to comply with disease control precautions.	Not available	17/03/2020	Official Website	Government
2469	Hungary	HUN			Europe	Social distancing	Public services closure 	Yes	 National Tax and Customs Administration (NAV) has suspended customer services in eight locations in Pest County.	Not applicable	17/03/2020	Official Website	Government
2470	Hungary	HUN			Europe	Public health measures	General recommendations	Yes	The organizations of pediatricians are asking parents not to take their children suspected of having contracted coronavirus infection to surgeries or pediatric duty wards. They should instead call their pediatric practitioners or one of the toll-free numbers.	Not available	17/03/2020	Official Website	Government
2471	Hungary	HUN			Europe	Social distancing	Public services closure 	No	public liturgy will be “suspended.” Funerals are the only exception, but “will have to be held in a simple and brief form.”	Not applicable	17/03/2020	Official Website	Government
2472	Hungary	HUN			Europe	Social and economic measures	Economic measures	Yes	Half of the 9,000 companies that have responded so far to a survey by the Hungarian Chamber of Commerce and Industry (MKIK), concerning their response to the novel coronavirus, have indicated that they are putting contingency measures in place.	Not applicable	18/03/2020	Official Website	Government
2473	Hungary	HUN			Europe	Public health measures	Strengthening the public health system	Yes	Chief medical officer Cecília Müller said the number of test laboratories has been “significantly increased” Several hospitals to be designated as quarantine centers 	Not applicable	18/03/2020	Official Website	Government
2474	Hungary	HUN			Europe	Social distancing	Public services closure 	No	Government offices will only receive customers by appointment. Ban put in place for visiting residential social institutions	Not applicable	18/03/2020	Official Website	Government
2475	Hungary	HUN			Europe	Public health measures	Awareness campaigns	No	Following a cabinet meeting today, PM Orbán will make an announcement on his social media account.	Not applicable	18/03/2020	Official Website	Government
2476	Hungary	HUN			Europe	Social and economic measures	Economic measures	Yes	PM announces suspension of principal and interest payment liabilities on loans taken out by private individuals and businesses up to the present day have been suspended up to the end of the year. In the tourism, catering, entertainment, gaming, film, performing arts, events and sports services sectors, rental contracts relating to premises serving non-housing purposes cannot be terminated by ordinary notice until June 30, 2020. The government may extend the ban on termination in a decree. Rentals cannot be raised during the term of the state of emergency, even if it is otherwise allowed by the contract.  In the case of businesses operating in these sectors, for the months of March, April, May and June 2020, employers will be exempt from the payment of contributions on wages.	Not applicable	18/03/2020	Official Website	Government
2477	Hungary	HUN			Europe	Social and economic measures	Economic measures	Yes	Hungary is continuing to do everything possible to assure continuous freight shipments “We are continuing to do everything possible to assure continuous and unhindered freight transport, because this is necessary for the security of people’s supply, and for the functioning of countries’ economies,” the foreign minister said. baby loans and student loans do not need to be repaid before December 31, and the APR on consumer loans can be no more 5.9 percent. Furthermore, in the tourism, hospitality, entertainment, gambling, film, event and sports service sectors, leases for non-residential premises may not be terminated until June 30, 2020. 	Not applicable	19/03/2020	Official Website	Government
2478	Hungary	HUN			Europe	Social and economic measures	Emergency administrative structures activated or established	Yes	The foreign ministry has set up a working group to organize the return of Hungarians stranded abroad. The group has been in talks with other central European countries to fly Hungarians home from distant countries.	Not applicable	20/03/2020	Official Website	Government
2479	Hungary	HUN			Europe	Social and economic measures	Economic measures	Yes	suspending payments of principal, interest and fees on all retail and corporate loans. Minister Varga said contractual obligations to make repayments on loans would be suspended automatically. repayment moratorium  	Not applicable	20/03/2020	Official Website	Government
2480	Hungary	HUN			Europe	Social and economic measures	Military deployment	Yes	Operative groups set up by the defense ministry have started working at 71 Hungarian companies to coordinate containment measures in connection with the novel coronavirus epidemic. The aim is to ensure the seamless operation of essential production lines and services.	Not applicable	20/03/2020	Official Website	Government
2481	Hungary	HUN			Europe	Public health measures	Introduction of quarantine policies	No	People displaying mild symptoms must remain in stay-at-home quarantine.  People with severe symptoms, those who fall into any of the high-risk groups and those who require hospital care will naturally be hospitalized.	Not applicable	20/03/2020	Official Website	Government
2482	Hungary	HUN			Europe	Social distancing	Public services closure 	No	 National Utilities (NKM) group companies suspend the reading of public utility meters	Not applicable	20/03/2020	Official Website	Government
2483	Hungary	HUN			Europe	Social and economic measures	Economic measures	Yes	During the state of emergency, package delivery commerce aimed at supplying the population may also be performed without compulsory reporting and registration. However, during the course of commercial activities that are not registered and reported, no trips or events may be organized for the purposes of product demonstration.	Not applicable	20/03/2020	Official Website	Government
2484	Hungary	HUN			Europe	Social and economic measures	Emergency administrative structures activated or established	Yes	Government sets up a humanitarian corridor for Romanians making their way from Austria to their homeland	Not applicable	20/03/2020	Official Website	Government
2485	Hungary	HUN			Europe	Social and economic measures	Emergency administrative structures activated or established	Yes	Government to seek Parliament’s support with bill on containment of coronavirus epidemic. the goal of the cabinet is for Parliament to confirm the measures adopted by the government so far, and to grant the cabinet a mandate to take further measures necessary for the fight against the coronavirus.  During the epidemic, all necessary means must be made available for the most effective possible action also for the event that Parliament should not be able to remain in session in the usual manner.	Not applicable	21/03/2020	Official Website	Government
2486	Hungary	HUN			Europe	Public health measures	General recommendations	No	Only visit the post office if it's absolutely necessary	Not applicable	21/03/2020	Official Website	Government
2487	Hungary	HUN			Europe	Movement restrictions	Visa restrictions	Yes	Local and regional transport service providers will accept expired official documents verifying eligibility for travel discounts, including for those without up-to-date validation, until the 15th day following the end of the state of emergency declared due to the coronavirus epidemic, the Ministry for Innovation and Technology announced	Not applicable	22/03/2020	Official Website	Government
2488	Hungary	HUN			Europe	Social and economic measures	Military deployment	Yes	Hungarian Armed Forces increase presence along Hungary’s northern border	Not applicable	23/03/2020	Official Website	Government
2489	Hungary	HUN			Europe	Social and economic measures	Emergency administrative structures activated or established	Yes	Gergely Gulyás, the head of the Prime Minister’s Office, has called on parliament to pass the government’s proposal to extend the state of emergency with regard to the novel coronavirus epidemic.	Not applicable	23/03/2020	Official Website	Government
2490	Hungary	HUN			Europe	Public health measures	Strengthening the public health system	No	An aircraft carrying 11 tons of protective gear arrived from Shanghai at Budapest’s international airport this morning.	Not applicable	23/03/2020	Official Website	Government
2491	Hungary	HUN			Europe	Social and economic measures	Economic measures	No	Contactless payment limit raised to HUF 15,000 to help reduce virus	Not applicable	23/03/2020	Official Website	Government
2492	Hungary	HUN			Europe	Public health measures	Strengthening the public health system	No	New shipment of more than 3 million face masks, protective gear and 86 ventilators arrives in Hungary Almost 70 tons of medical and protective equipment arrived in Budapest this morning. The new shipment includes more than 3 million face masks and 86 ventilators.	Not applicable	24/03/2020	Official Website	Government
2493	Hungary	HUN			Europe	Social and economic measures	Economic measures	Yes	after taxi drivers, further small businesses and individual entrepreneurs would be granted exemption from the payment of the ‘kata’ flat-rate tax until June 30 due to the coronavirus epidemic. Hungarian media services will be given a tax break due to lost advertising revenues; evictions, confiscations and tax-related executions will be suspended; and during the state of emergency, various maternity entitlements will be extended. The decree lays down that taxpayers engaged in the specified activities will be exempt from the payment of ‘kata’ – the flat-rate tax of small taxpayer businesses – for the months of March, April, May and June 2020. From March 1, 2020, the state tax authority will not charge any penalties in relation to tax debts up to the month following the quarter in which the state of emergency is lifted and for the duration of payment by instalments.  	Not applicable	24/03/2020	Official Website	Government
2494	Hungary	HUN			Europe	Public health measures	Strengthening the public health system	No	MOL to produce 50,000 liters of disinfectant per day	Not applicable	25/03/2020	Official Website	Government
509	Iceland	ISL			Europe	Public health measures	Mass population testing	No	All citizens are offered screening 	Not applicable	13/03/2020	Government of Iceland	Government
521	Iceland	ISL			Europe	Public health measures	Introduction of quarantine policies	Yes	14 day self-quarantine for all those arriving from high risk places. 	Not available	16/03/2020	Government of Iceland	Government
768	Iceland	ISL			Europe	Social distancing	Limit public gatherings	No	limit of public gatherings to 100 people	Not available	16/03/2020	Government	Government
1645	Iceland	ISL			Europe	Public health measures	General recommendations	No	Discouraging of all unnecessary travels 	Not applicable		Directorate of Health	Government
1646	Iceland	ISL			Europe	Public health measures	Awareness campaigns	Yes	Targeted material development for explaining COVID-19 to kids	Not applicable	28/02/2020	Directorate of Health	Government
1647	Iceland	ISL			Europe	Social and economic measures	State of emergency declared	No	Did not trigger additional measures than those already in place	Not applicable	06/03/2020	Government	Government
1648	Iceland	ISL			Europe	Social distancing	Limit public gatherings	No	Ban on gatherings of more than 20 people	Not available	24/03/2020	Government	Government
1649	Iceland	ISL			Europe	Social distancing	Public services closure 	No	Then 20 person gathering-ban also affects public places such as swimming pools, gyms, pubs and museums, which should remain closed for the duration of the ban.	Not available	24/03/2020	Government	Government
1650	Iceland	ISL			Europe	Social and economic measures	Economic measures	No	Extensive economic measures of 1.6bn USD implemented, including state-backed loans, government uptake of salaries, tax deferral, child benefit payment, tourist sector support, VAT return for construction projects	Not applicable	21/03/2020	Government	Government
1651	Iceland	ISL			Europe	Movement restrictions	Border closure 	No	Non-EU citizen are not allowed to enter Island anymore	Not applicable	20/03/2020	Directorate of Health	Government
1652	Iceland	ISL			Europe	Public health measures	Introduction of quarantine policies	No	All people arriving to Island are mandated to self-quaratine for 14 days, irrespective of place of departure and nationality	Not available	19/03/2020	Government	Government
1670	Iceland	ISL			Europe	Social distancing	Limit public gatherings	Yes	Grocery stores may have up to 100 person in the store at the same time, if 2m safety distance can be kept	Not available	24/03/2020	Directorate of Health	Government
1671	Iceland	ISL			Europe	Social distancing	Schools closure 	Yes	Secondary and university buildings are closed; pre-school and elementary schools continue if they can keep minimum distance; 	Not available		Directorate of Health	Government
1672	Iceland	ISL			Europe	Public health measures	Strengthening the public health system	No	Discontinuation of all non-essential health procedures	Not applicable	23/03/2020	Directorate of Health	Government
3074	Iceland	ISL			Europe	Public health measures	General recommendations	Yes	Preventive measure recommendation for the elderly 	not applicable		Government	Government
252	India	IND			Asia	Movement restrictions	Visa restrictions	No	Suspension of all visas except diplomatic, offical, UN, employment and project until April 15th	Not applicable	13/03/2020	Bureau of Immigration	Government
255	India	IND			Asia	Public health measures	Introduction of quarantine policies	Yes	Incoming travelers (including Indians) have visited China, Italy, Iran, Republic of Korea, France, Spain and Germany after 15th February, 2020 quarantine 14 days	Not applicable	13/03/2020	Bureau of Immigration	Government
256	India	IND			Asia	Movement restrictions	Additional health/documents requirements upon arrival	Yes	Incoming travelers having visited Italy or Korea to produce negative COVID-19 health certificate 	Not applicable	10/03/2020	Bureau of Immigration	Government
266	India	IND			Asia	Social and economic measures	Economic measures	Yes	Assistance to COVID-19 victims and families of deceased	Not applicable	15/03/2020	New Delhi TV	Media
774	India	IND			Asia	Public health measures	Introduction of quarantine policies	Yes	Introduction of quarantine policiesfor travelers expanded to those coming or transiting from UAE, Qatar, Oman, Kuwait starting 18 March until 31 March		18/03/2020	Ministry of Health	Government
775	India	IND			Asia	Movement restrictions	Visa restrictions	Yes	ban of entry for passengers from EU countries, EFTA countries, Turkey, UK from 18 March		18/03/2020	Ministry of Health	Government
776	India	IND			Asia	Lockdown	Partial lockdown	No	closure of selected public institutions such as museums (incl. Taj Mahal) until March 31 and postponement of several local elections		16/03/2020	Aljazeera	Media
777	India	IND			Asia	Movement restrictions	Border closure 	No	temporary closure of specified Indian land border crossings with Bangladesh, Nepal, Myanmar and Bhutan until 15 April		15/03/2020	Ministry of Home Affairs	Government
778	India	IND			Asia	Public health measures	Health screenings in airports and border crossings	No	health scrrens at border crossings		05/03/2020	Government of India	Government
1229	India	IND			Asia	Social distancing	Schools closure 	No	Until March 31, 2020 			MOHFW	Government
1760	India	IND			Asia	Public health measures	Health screenings in airports and border crossings	No	screening for travellers from 2019-nCoV affected countries (China) at points of entry		25/01/2020	India's MoHFW	Government
1761	India	IND			Asia	Public health measures	Strengthening the public health system	No	establish In country/ community surveillance through the Integrated Disease Surveillance Programme network(IDSP)		25/01/2020	India's MoHFW	Government
1762	India	IND			Asia	Public health measures	General recommendations	No	Social distancing advisory until 31 March 2020, including (1) closure of all education establishments, gyms, museums, cultural and social centres, swimming pools and theatres, offices, non-essential social and cultural gatherings, non-essential travel, and (2) physical distance ensured at restaurants, religious mass gatherings, transportation, and greetings. 			India's MoHFW	Government
1763	India	IND			Asia	Social and economic measures	Economic measures	Yes	All hospitals must provide treatment free of cost to any medical personnel who pick up infection while treating patients			India's MoHFW	Government
1764	India	IND			Asia	Public health measures	Testing policy	Yes	all pneumonia patients must also be notified to NCDC or IDSP so that they can be tested for COVID 19. 			India's MoHFW	Government
1765	India	IND			Asia	Public health measures	Introduction of quarantine policies	Yes	All unauthorized/ authorized shops (excluding pharmacies) and eateries in the vicinity of hospitals should be compulsorily shut.			India's MoHFW	Government
1766	India	IND			Asia	Public health measures	Introduction of quarantine policies	No	Indian citizens are advised to refrain from travel to China. People travelling to China henceforth will be quarantined on return. Indian citizens are advised to refrain from non-essential travel to Singapore, Republic of Korea, Iran, and Italy. 		26/02/2020	India's MoHFW	Government
1767	India	IND			Asia	Public health measures	Introduction of quarantine policies	No	People coming from Republic of Korea, Iran and Italy or those having history of travel to these countries may be quarantined for 14 days on arrival to India.		26/02/2020	India's MoHFW	Government
1768	India	IND			Asia	Movement restrictions	Visa restrictions	Yes	Existing visas (including eVisa already issued) of those traveling from China to India are no longer valid for any foreign national travelling from China.		26/02/2020	India's MoHFW	Government
1769	India	IND			Asia	Movement restrictions	Visa restrictions	Yes	Indian citizens are advised to refrain from travel to COVID-19 affected Countries (China, Republic of Korea, Islamic Republic of Iran, Italy and Japan). For those planning a visit to India from these countries, Existing visas (including eVisa already issued) are no longer valid for any foreign national travelling from these countries. 		02/03/2020	India's MoHFW	Government
1770	India	IND			Asia	Movement restrictions	Visa restrictions	Yes	All regular (sticker) Visas/e-Visa (including VoA for Japan and Korea, South) granted to nationals of Italy, Iran, Korea, South, Japan and issued on or before 03.03.2020 and who have not yet entered India, stand suspended with immediate effect. Such foreign nationals may not enter India from any Air, Land or Seaport ICPs. Regular (sticker) visas/e-Visas granted to all foreign nationals who have travelled to Peoples Republic of China, Iran, Italy, Korea, South and Japan on or after 01.02.2020, and who have not yet entered India stand suspended with immediate effect.  Such foreign nationals may not enter India from any Air, Land or Seaport ICPs.		03/03/2020	India's Bureau of Immigration	Government
1771	India	IND			Asia	Public health measures	Health screenings in airports and border crossings	Yes	Passengers (foreign and Indian) other than those restricted, arriving directly or indirectly from China, Korea, South, Japan, Iran, Italy, Hong Kong, Macau, Vietnam, Malaysia, Indonesia, Nepal, Thailand, Singapore and Taiwan must undergo medical screening at port of entry.		03/03/2020	India's Bureau of Immigration	Government
1773	India	IND			Asia	Social distancing	Limit public gatherings	No	Advisory against mass gatherings		05/03/2020	India's MoHFW	Government
1774	India	IND			Asia	Movement restrictions	Visa restrictions	Yes	Indian citizens are advised to refrain from travel to China, Iran, Republic of Korea, Italy & Japan and advised to avoid non-essential travel to other COVID-19 affected countries. All regular (sticker) Visas/e-Visa (including VoA for Japan and Korea, South) granted to nationals of Italy, Iran, Korea, South, Japan and issued on or before 03.03.2020 and who have not yet entered India, stand suspended with immediate effect. Regular (sticker) visa / e-Visa granted to nationals of Peoples Republic of China, issued on or before 05.02.2020 were suspended earlier. It shall remain in force. Regular (sticker) visas/e-Visas granted to all foreign nationals who have travelled to Peoples Republic of China, Iran, Italy, Korea, South and Japan on or after 01.02.2020, and who have not yet entered India stand suspended with immediate effect.		06/03/2020	India's MoHFW	Government
1775	India	IND			Asia	Public health measures	Health screenings in airports and border crossings	No	All international Passengers entering into India are required to furnish duly filled self-declaration form (including personal particulars i.e. phone no. and address in India) to Health Officials and Immigration officials and undergo Universal Health Screening at the designated health counters at all Points of Entry.		06/03/2020	India's MoHFW	Government
1776	India	IND			Asia	Public health measures	Introduction of quarantine policies	Yes	all passengers having travel history to China, Hong Kong, Republic of Korea, Japan, Italy, Thailand, Singapore, Iran, Malaysia, France, Spain and Germany are advised to undergo self-imposed quarantine for a period of 14 days from the date of their arrival. 		10/03/2020	India's MoHFW	Government
1777	India	IND			Asia	Movement restrictions	Visa restrictions	Yes	All regular Visas (including e Visas) which have been granted to nationals of France, Germany and Spain on or before 11.03.2020 and where these foreigners have not yet entered India stands suspended.		10/03/2020	India's MoHFW	Government
1778	India	IND			Asia	Public health measures	General recommendations	No	Indian citizens are advised to avoid non- essential travel abroad. They are further strongly advised to refrain from travelling to China, Italy, Iran, Republic of Korea, Japan, France, Spain and Germany.		10/03/2020	India's MoHFW	Government
1779	India	IND			Asia	Public health measures	Introduction of quarantine policies	No	Incoming travelers, including Indian nationals, are advised to avoid non-essential travel and are informed that they can be quarantined for a minimum of 14 days on their arrival in India. Indian nationals are further strongly advised to refrain from travelling to China, Italy, Iran, Republic of Korea, France, Spain and Germany. 		11/03/2020	India's Bureau of Immigration	Government
1780	India	IND			Asia	Movement restrictions	Border checks 	No	International traffic through land borders will be restricted to designated check posts with robust screening facilities.		11/03/2020	India's Bureau of Immigration	Government
1781	India	IND			Asia	Movement restrictions	Border closure 	Yes	All passenger movements through all Immigration Land Check Posts located at Indo-Bangladesh Border, Indo-Nepal Border, Indo-Bhutan Border, and Indo-Myanmar Border will be suspended with effect from 00:00 hours March 15, 2020 until further orders, except through designated posts. 		13/03/2020	India's MoHFW	Government
1782	India	IND			Asia	Public health measures	Health screenings in airports and border crossings	Yes	Intensified health inspections at all these entry points. Subject to quarantine if symptomatic. 		13/03/2020	India's MoHFW	Government
1783	India	IND			Asia	Movement restrictions	Border closure 	Yes	Additional border restrictions, modifying the announcement from 13 March 2020. Suspending all types of passenger movements through all Immigration Land Check Posts. In effect 00:00 hours on March 15, except at the India-Pakistan border where it will go into effect from 00:00 hours on March 16. 		15/03/2020	India's MoHFW	Government
1784	India	IND			Asia	Social and economic measures	Emergency administrative structures activated or established	No	Invoking use of emergency protocol & funds 		14/03/2020	Ministry of Home Affairs, Disaster Management Division 	Government
1785	India	IND			Asia	Movement restrictions	International flights suspension	Yes	“Travel of passengers from Afghanistan, Philippines, Malaysia to India is prohibited with immediate effect. No flight shall take off from these countries to India after 1500 hours Indian Standard Time (IST)… till 31st March 2020 and will be reviewed subsequently.” 		17/03/2020	India's MoHFW	Government
1786	India	IND			Asia	Movement restrictions	International flights suspension	No	No international flights to take off for India from foreign airports after 0001 hrs GMT of March 22, 2020 until 0001 hrs GMT March 29, 2020. 20 hours maximum travel time. So no incoming international passengers allowed on Indian soil (foreigner or Indian) after 2001 hrs GMT of March 22, 2020.		22/03/2020	India's MoHFW	Government
1787	India	IND			Asia	Public health measures	Introduction of quarantine policies	Yes	All asymptomatic individuals who have undertaken international travel in the last 14 days should stay in home quarantine for 14 days, be tested only if symptomatic, and all family members living with a confirmed case should be quarantined. 		20/03/2020	India's MoHFW	Government
1788	India	IND			Asia	Public health measures	Testing policy	Yes	Testing all symptomatic contacts of laboratory confirmed cases, symptomatic health care workers, and all hospitalized patients with Severe Acute Respiratory Illness. 		20/03/2020	India's MoHFW	Government
151	Indonesia	IDN			Asia	Movement restrictions	Visa restrictions	Yes	All foreign travellers, with the exception of nationals, who have been in or transited through mainland China, excluding Hong Kong and Macao, in the previous 14 days, including the airline crew, will not be granted a visa or granted entry/transit.	Not applicable	08/03/2020	International SOS	Other organisations
152	Indonesia	IDN			Asia	Movement restrictions	Visa restrictions	Yes	Visa-on-arrival and visa free entry have been suspended for mainland Chinese nationals, with exception to Hong Kong and Macao (both SAR) passport holders. It has also been suspended for all travellers from Iran, Italy, mainland China and Korea, South.	Not applicable	08/03/2020	International SOS	Other organisations
153	Indonesia	IDN			Asia	Movement restrictions	Visa restrictions	Yes	From 8 March, the entry and transit ban will be expanded to include travellers with a travel history to Daegu and Gyeongsangbuk-do in Korea, South; Tehran, Qom and Gilan in Iran; Lombardi, Venetto, Emilia-Romagna, Marche and Piedmont regions in Italy 14 days prior to arrival.	Not applicable	08/03/2020	International SOS	Other organisations
